"list_topic_question_creators","list_topics","list_topic_question_titles","list_topic_questions","list_topic_question_timestamps"
"Abdul Kafi Mubarok","tb6cy4erzyqco1b3","Lingkungan Hidup","saya ingin melestarikan lingkungan, dan mengajak seluruh dunia untuk peduli lingkungan dengan langkah awal yaitu mempostikan artikel di Wikepedia.","2016-09-08T10:38:59Z"
"Ebyn1707","tb3901ijsr3ffz5p","Berapa lama ""perubahan menunggu tinjau""","= Artikel ini tolong di tinjau : = * = Simpang Empat Sungai Tutung, Air Hangat Timur, Kerinci = * = Baru Sungai Tutung, Air Hangat Timur, Kerinci = * = Taman Jernih Sungai Tutung, Air Hangat Timur, Kerinci = * = Sungai Tutung, Air Hangat Timur, Kerinci =  tolong di periksa, agar cepat di lihat oleh orang lain.  trimakasih.","2016-09-07T01:08:50Z"
"Ebyn1707","tb2xlbqez153lcyb","tolong agan/sista, artikel yg telah saya revisi ini di aproved","tolong yg telah revisi di aproved mas {{FlowMention|Kenrick95}}  *  = Simpang Empat Sungai Tutung, Air Hangat Timur, Kerinci = *  = Baru Sungai Tutung, Air Hangat Timur, Kerinci = *  = Taman Jernih Sungai Tutung, Air Hangat Timur, Kerinci = *  = Sungai Tutung, Air Hangat Timur, Kerinci = * Tolong bantuannya gan.","2016-09-06T21:43:58Z"
"Juhariariari83","tb264dagoowr3iox","terima kasih atas bantuannya warkop wikipedia sudah bisa bergabung","{{FlowMention|Juhariariari83}}","2016-09-06T13:30:41Z"
"Galatia Puspa","tazbyliazv8gmf6t","Mengetahui hasil review halaman yang kita unggah","Halo selamat siang,  Saya ingin bertanya bagaimana cara mengetahui kelayakan halaman yang sudah diunggah? Kira-kira butuh berapa lama halaman tersebut direview?   Sebelumnya terimakasih atas atensinya {{FlowMention|Kenrick95}}","2016-09-05T06:56:15Z"
"Gitta Vania","tazambpx9hkwuu9v","Membuat postingan baru.","Saya memiliki tugas UTS dari kampus untuk memposting artikel di wikipedia. Jika artikel tsb terhapus oleh wikipedia, maka saya tidak akan mendapatkan nilai di waktu yg sudah di tentuka. Saya mau bertanya, kira kira berapa lama postingan tsb akan di revisi dan akan ketahuan terhapus atau tidaknya? Jika terhapus apakah artikel tsb masih berada di file account wiki atau terhapus sama sekali? terimakasih.","2016-09-05T06:32:11Z"
"Wijaya rio","tawtkzcd84exc6o2","bagaimana cara melampirkan foto di wikipedia? mohon bantuannya","bagaimana cara melampirkan foto di wikipedia? mohon bantuannya","2016-09-04T03:53:23Z"
"Sinta Angela","taujqnf5fqzew2wt","Apakah wikipedia hanya diperuntungkan untuk menyunting?","Apakah wikipedia hanya diperuntungkan untuk menyunting?Ataukah bisa untuk menambahkan artikel baru?","2016-09-03T03:23:48Z"
"183.171.27.53","tatagorr6xaig1yg","APAKAH MAKSUD TETIKUS DALAM BAHASA KOMPUTER","APAKAH MAKSUD TETIKUS DALAM BAHASA KOMPUTER","2016-09-02T13:50:47Z"
"Ebyn1707","tarzhk6fkyxibyz7","Validasi Halaman","Tolong validasi halaman SMA Negeri 13 Kerinci ya agan {{FlowMention|Kenrick95}}","2016-09-01T23:47:16Z"
"Lina Raulina","taqk3t1749v6fhvx","Kontributor","Hai semua....selamat siang...(saya mengetiknya pas siang hari hari...hehehe)  Ada beberapa pertanyaan yg mau saya tanyakan, mungkin admin berkenan untuk menjawabnya :  1.Kalau saya mau jadi kontributor untuk wikipedia bagaimana caranya ya...(karena saya new comer)  2.Bagaimana saya bisa tau kalau artikel yg saya kirim itu diterbitkan  3.Apakah saya dapat kompensasi jika artikel saya diterbitkan ? Jika dapat, dalam bentuk apa kompensasinya ? uang atau apa ?  4.Artikel apa saja yg bisa saya kirimkan ?  5.Ada contact person yg bisa saya hubungi ?  Terima kasih banyak ya","2016-09-01T08:24:38Z"
"Ghifari Aldiansyah","taqduw6on8zcdtud","Gimana cara untuk membuat artikel baru di Wikipedia?","Hallo! Gimana ya caranya untuk membuat artikel baru di Wikipedia?","2016-09-01T06:32:27Z"
"Numosh","tan4x7eeej9js0f0","Revisi Artikel Profil","Halo, boleh tolong di validasi revisi untuk artikel [[Atiek Nur Wahyuni]]. Terimakasih","2016-08-30T19:32:43Z"
"M.I.F.T.A","tamwsg9150ftqqdi","Tidak mengerti","Saya tidak mengerti dan ini baru pertama kali mencoba","2016-08-30T17:06:41Z"
"Vein wibowo","tamdxt69y3iuwfc0","Untuk erik fastman","saya harap teman teman tidak di hapus artikel nya begitu saja sama erik fastman....  karena sayang sekali sudah cape cape ngetik, tapi di hapus begitu saja. berikan penjelasan kepada kami bagaimana cara memposting artikel di wikipedia agar tidak di hapus sama erik fastman...apakah tidak boleh permalink kah...atau tidak boleh di hyperlink ke website luar kah...atau bagaimana...?  mohon penjelasan nya buat pak kenrick95 yang baik hati... :)  thanks...","2016-08-30T11:28:11Z"
"Vein wibowo","tamczfoekvduo0gd","posting artikel","cara memposting artikel ke dalam wikipedia agar tidak di hapus sembarangan sama erik fastman bagaimana ya...?? kebijakan nya seperti apa...  atau tidak boleh kah artikel tersebut di permalink ke website luar...???  Thanks","2016-08-30T11:11:03Z"
"Natalie 1312","tai4yl9wvtrcb58c","Arti Thumbnail","Apa arti thumbnail ??","2016-08-28T13:41:15Z"
"Binna nugraha","taedvqjvgpeibj9x","kenapa revisi editan saya belum di setujui saja sampai saat ini","Saya telah banyak menambahkan data tentang yuniza icha namun mengapa belum tergati dan diperbaharui sampai saat ini . Saya dari pihak yuniza icha langsung . Mengubah dan menambahkan data dengan persetujuan yuniza icha langsung .","2016-08-26T21:15:43Z"
"Maxhav10","tablyinphxw1q5vd","GAGAL MENGUBAH FOTO","Mengapa saya selalu gagal mengubah foto lama dengan foto baru?","2016-08-25T15:21:28Z"
"Maxhav10","tabkkmky1pzmgs7y","mengubah foto","Bagaimana saya mengubah foto pada box sebelah kanan?  Foto sekarang yang ditampilkan di wikipedia, adalah foto yang lama.  TERIMA KASIH","2016-08-25T14:56:35Z"
"Jerremyari","ta8658myi2a40yfh","berita olah raga","bagaimana untuk mengedit","2016-08-24T02:18:13Z"
"Tofan Kaluara","ta5uy93x225aeqsc","kesulitan pada mengupload foto","halo, ini pertama kalinya saya mencoba menulis di wikipedia. dan setelah akan mengupload foto saya tidak bisa mengaksesnya atau fotonya tidak bisa di upload pada halaman Wikipedia cerita yang saya muat.   mohon info bantuannya....Terima Kasih Admin","2016-08-23T01:24:22Z"
"Abdul Hanif of Juna","ta4vg5dgbzz2va3n","bertanya","halo, ini pertama kali nya saya mencoba menulis di wikipedia.    apabila saya ingin mencari sofware yang penting apa boleh...?","2016-08-22T14:46:51Z"
"Sherly novianty","ta45s1b3h48v00aq","kata-kata penting","halo, ini pertama kali nya saya mencoba menulis di wikipedia.   apabila saya ingin menuliskan topik yg ada di wikiepedia sebelumnya, apakah diperbolehkan ?","2016-08-22T07:05:55Z"
"Ryansyahmujizathakim","t9w0ng210k4myl94","mempertentangkan nominasi penghapusan","Selamat Malam @[[Pengguna:Rachmat04|Rachmat04]] @[[Pengguna:Kenrick95|Kenrick95]] bisakah artikel ""Sahattua Simatupang"" diusulkan untuk tidak dihapus? beliau merupakan salah satu tokoh pelaut Indonesia dan pejabat tinggi pratama di lingkungan Kementerian Perhubungan yang cukup populer dengan berbagai inovasi di bidang maritim dan pelayaran niaga, bisa Anda search melalui Google atau bisa Anda lihat di acara metro tv, 21 September 2015 jam 11:22 WIB membahas tentang Dampak Positif Penerapan Skema BLU di Pelabuhan. Beliau juga berperan secara aktif dalam terpilihnya kembali Indonesia sebagai Anggota Dewan Organisasi Maritim Internasional (IMO) tahun 2011-2013 kemudian tahun 2016-2017. saya secara sukarela berniat untuk membantu mengembangkan wikipedia untuk mengangkat tokoh-tokoh pelaut terkemuka dan ahli kepelabuhanan serta tokoh lainnya yang memiliki kiprah terbaik dalam bidang kemaritiman guna membagi informasi. sebagaimana tokoh militer yang terdapat di wikipedia, kiranya merupakan suatu hal yang baik apabila tokoh-tokoh pelaut dapat diangkat juga sebagai tanda bahwa Indonesia merupakan bangsa pelaut. untuk itu, saya mohon koreksi dan bimbingannya terkait perbaikan apa yang perlu disesuaikan pada artikel yang saya buat. untuk informasi pranala luar atau referensi sudah ditambahkan. mohon pencerahannya.   Terima Kasih sebelumnya.   Salam   RYAN","2016-08-18T15:24:46Z"
"SMA Informatika Ciamis","t9vu20m8224g2294","Mengubah Nama Pengguna?","Bagai Mana Caranya merubah nama pengguna di wikipedia?","2016-08-18T13:23:59Z"
"Eko Hadi Prasetio","t9qnn1x6e9vrdfqx","Perkenalan","Saya adalah pemula. Bolehkah saya membuat artikel tentang diri saya disini. Jika boleh apa persyaratannya.","2016-08-16T05:36:38Z"
"120.164.40.161","t9pt40u53528xkig","Pertanyaan sekaligus permohonan penulisan kembali halaman octa sanjana","assalamualaikum {{FlowMention|Rachmat04}},{{FlowMention|Kenrick95}} kenapa halaman octa sanjana harus dihapus, octa sanjana adalah stand up comedian dari blitar yang baru saja turun dari stand up comedy academy indosiar￼ bisa dibilang dia komika nasional yang dimiliki indonesia","2016-08-15T20:28:27Z"
"Lazuardead","t9mr2dql72ayc1ox","Darwin Mahesa","Hallo {{FlowMention|Rachmat04}},{{FlowMention|Kenrick95}} bisakah artikel ""Darwin Mahesa"" dikembalikan atau ditulis ulang? Dia merupakan sineas di Banten yang cukup populer dengan karya-karya film Indie nya, bisa anda search melalui google, atau bisa anda lihat di acara Tonight Show, Jumat 19 Agustus 2016 jam 23.00 di NET TV membahas kesuksesan anak muda itu membawa film Indie Indonesia ke New Zealand.","2016-08-14T11:32:26Z"
"Waharos java","t9l8lgdkga2ueelv","Bantuan","Kenapa catatan saya tidak bisa di tampilkan selalu referensi","2016-08-13T19:14:20Z"
"MaulidinFirst","t9g42nsebhhu77jy","id.wikipedia.org","Situs anda brengsek, masak ketika ada tokoh pemuda di edit oleh pihak tertentu, di biarkan oleh wikipedia, tidak profesional situs ini bisa di obrak-abrik situs anda tidak layak kami kira, bagian menghancurkan anak bangsa juga","2016-08-11T12:00:59Z"
"Irmaa Imaa","t9fh3229apj8vvwi","Cara membuat postingan","Cara membuat postingan?","2016-08-11T05:08:11Z"
"Meliana anggelica kandriady","t9bmgmx45v8e5jkl","apa yang dimaksud masa prapaskah","apa yang dimaksud masa [[Prapaskah|'''''prapaskha''''']]","2016-08-09T11:39:01Z"
"Honolulu8989","t998h0m6peatx86w","tidak tahu cara daftar JADI MEMBER..","saya mau daftar menjadi pembuat akun tapi saya tidak tahu cara daftar","2016-08-09T08:48:35Z"
"Araaaabbb","t977yi3zvleq7j78","Revisi Terperiksa","Tolong tinjaukan halaman ini [[Dimas Oky Nugroho]] untuk direvisi Terperiksa hingga menjadi Aktif. Karena sudah ada 16 perubahan tertunda hingga saat ini belum ada hasil selanjutnya. {{FlowMention|Adhityaranggaputra}},{{FlowMention|Andres Magini}},{{FlowMention|Warmlaw}},{{FlowMention|Kenrick95}},{{FlowMention|Rachmat04}},{{FlowMention|Bonaditya}}","2016-08-07T12:12:52Z"
"Ahmad sucipto","t9585myqn877v812","Extra Sensory Perception","apa itu esp?","2016-08-06T14:43:34Z"
"Muhammad Andi Syahputra Nasution","t949hyh44ihng0rn","foto","bagaimana masukkan foto ke wikipedia","2016-08-06T04:21:14Z"
"Robbi bian","t943twyay003eim8","disksi tentang teknik","haii,,aku pendatang baru aku ingin belaja tentang teknik sipil","2016-08-06T02:40:01Z"
"H Budi Heryadi","t92y9ruw0wr419t4","bagaimana cara agar profil seseorang muncul di sebelah kanan google menggunakan wikipedia","Saya Ingin Memunculkan Halaman wikipedia saya di sebelah kanan pencarian google","2016-08-05T14:13:13Z"
"Soumia Azzagmouzi","t92sxqo7jkrievxb","penggunaan","Oh Sorry i can't speak Bahasa Indonesia","2016-08-05T12:37:25Z"
"Ariwidiantara482","t90nr2gqnuehpji1","Pelajaran","Saya Ingin tau ,Apakah Wikipedia bisa di gunakan dalam bidang pelajaran apapun...?","2016-08-04T13:31:27Z"
"36.72.181.72","t90mh0548sdjdgma","definisi Panama","manfaat definisi panama apa???????????","2016-08-04T13:54:00Z"
"Xoclateperbanas","t8zixrciavl2luke","Copyright Infringement","Halaman yang saya buat dianggap melanggar hak cipta, padahal saya adalah perwakilan resmi dari institusi yang bersangkutan. Bagaimana caranya agar halaman saya tidak dihapus lagi? dan bagaimana caranya supaya logo institusi yang saya unggah tidak dihapus karena dianggap melanggar hak cipta?","2016-08-04T01:18:35Z"
"AlexGrafika","t8u07f9vj39w9tgn","katagori bisnis usaha","saya ingin membuat halaman katagori bisnis usaha saya, dimana saya harus untuk memulai","2016-08-01T13:50:05Z"
"Nasta22xp","t8tnecmxvyg53cs1","bolehkan kalau yang berdetak merah diisikan halaman definisi berkaitan dengan tulisan itu ?","Bolehkah kalau yang bercetak  merah diisi definisi yang berkaitan dengan tulisan tersebut?","2016-08-01T10:00:06Z"
"Bimaaniswandaru","t8qwtwsb84m74t5s","Cara membuat Artikel Baru di Wikipedia Indonesia","Bagaimana cara membuat artikel baru atau membuat halaman baru tentang sebuah hal?  misal saya ingin membuat artikel film ""A"" yang belum dibuat di Wikipedia Indonesia tetapi saya ingin memulai membuat baru artikel film tersebut.","2016-07-31T04:30:11Z"
"Bryan Qhe","t8qlpd7le0c16saq","Bolehkah saya menyunting wikipedia negara Indonesia ?","Jika memang ini adalah privasi atau terlindungi, saya ingin menambahkan nama Viranagari Nusantara dalam nama tambahan dari Republik Indonesia baik itu Wikipedia Bahasa Indonesia dan Wikipedia Bahasa Inggris, seperti India yang memiliki nama lain Bharat Ganarajya dan begitu juga lainnya, bukan maksud apa-apa, ini agar dunia tahu tentang kita memiliki nama asli.","2016-07-31T01:10:24Z"
"J.P. Susanto","t8mvm2k53qaw0m58","Sejarah Desa Segobang","Maaf saya pengguna baru Wikipedia, kesulitan untuk edit atau menata paragraf yang setelah saya simpan berubah bentuknya. Bagaimana cara edit kembali ? Terimakasih.","2016-07-29T09:02:36Z"
"Folti Baffi","t8idbkjvn3qfo4d1","Tips pengguna baru?","Apakah ada tips untuk saya pengguna baru wikipedia yang ingin memposting beberapa tulisan agar tulisan yang saya buat dapat di lihat oleh orang-orang yang mengakses internet?  Terimakasih :)","2016-07-27T08:28:25Z"
"Presidenvolksraad","t8geu2jqgv5k237n","Cara hubungi pengguna lain?","Mbak, Bung, mohon panduannya kalau ingin menghubungi pengguna lain karena kebutuhan bersama, seperti berkoordinasi dalam penyuntingan, bagaimana caranya?  kan gan lucu kalau ngetag di sini.  {{FlowMention|Arxen}}","2016-07-26T11:22:45Z"
"Ferri092","t8clchd0qfoka7ht","Penyalahan wewenang!","Saya melihat bahwa pengguna {{FlowMention|Raymondkeren}} adalah seorang pengurus, tapi kenapa dia selalu merusak artikel yg sudah saya suting sesuai dengan fakta (memiliki referensi yg benar) dengan sudut pandang dia sendiri! dia mengedit artikel yg sudah saya perbaiki TANPA ADA BUKTI / REFERENSI yg dicantumkan!","2016-07-24T18:13:57Z"
"Wuekero","t855py6otdbqddb3","Apakah artikel yg dihapus bisa dimunculkan kembali","Saya menanyakan apakah artikel2 yang telah saya buat bisa dimunculkan kembali, sehingga bisa saya perbaiki, lengkapi dan rubah gaya bahasanya. Karena hampir 50 artikel yang saya buat telah dihapus, sedangkan saya sudah mengikuti aturan dan standar yang wiki terapkan.  Dan mengapa dari artikel yang hampir 100 artikel saya buat, hanya 50an yang dihapus, padahal format dan standar penulisannya saya sama semuanya. Itulah yang membuat saya makin giat rajin menulis artikel ini, karena diawal2 penulisan memang diberikan pengarahan oleh pengguna dan beberapa kali dihapus karena tidak mengikuti standar wiki, misalnya format standar dan pranala luar, atau referensi. Setelah melakukan koresponden dengan pengurus wiki, akhirnya artikel yg saya buat bisa dimuat dan tak dihapus lagi. Maka saya menulis lebih banyak bersumber dari buku yg sama.  Namun karena libur Lebaran, saya tidak membuka wiki hampir 2 mingguan, artikel yang saya buat, hampir 50an artikel dihapus semua ...  14 Juli 2016 13.13 [[Pengguna:Bonaditya|Bonaditya]] ([[Pembicaraan Pengguna:Bonaditya|bicara]] | [[Istimewa:Kontribusi pengguna/Bonaditya|kontrib]]) menghapus halaman [https://id.wikipedia.org/w/index.php?title=Boleh_Rujuk_Asal...&action=edit&redlink=1 Boleh Rujuk Asal...] (Penghapusan masal halaman-halaman yang dibuat oleh [[Istimewa:Kontribusi pengguna/Wuekero|Wuekero]]: hampir semua adalah hasil dari salin tempel situs lain)  Tolong kerjasamanya, agar saya masih bisa lanjut meneruskan dan membantu WIKI untuk banyak menyunting.","2016-07-21T10:08:21Z"
"Hamza Am","t83o0bettob18u7c","Biografi","Bagaimana cara nya membuat identitas seseorang?","2016-07-20T18:03:53Z"
"Wuekero","t83j1b1koqvv5zsp","hampir semua sutingan tentang film Indonesia yang saya buat dihapus","sudah hampir 3 bulan ini saya menulis tentang suntingan sinopsis perfilman indonesia, Data yang saya ambil dari buku Katalog Film Indonesia 1926-1995 karya JK Kristanto. Namun berapa kecewanya saya, hampir setengah sutingan yang saya buat dihapus. Seperti tidak menghargai keikutsertaan saya dalam melengkapi data.  Acuan dalam penulisan tersebut saya lampirkan pula pranaluar dari website  perfilman Indonesia yang kebetulan  juga bersumber dr buku yang sama. Apabila demikian aturannya, saya rasa hampir 100% suntingan film Indonesia tahun 1926 sd 1995 berasal dr sutingan yg sama, tetapi tidak dihapus sampai sekarang. Ada beberapa suntingan yg justru saya lengkapi dengan nama para pemainnya,(melihat filmnya di youtube) dan ada beberapa titik koma sinopsis yg saya sesuaikan dengan bahasa yang baik juga dibabat habis.  ini. Mengapa suntingan saya di awal2 dengan format yg sama justru tidak dihapus, walau awal2 diberi pengarahan cara penulisan yg bener, maka saya cantumkanlah narasumber dr buku karangan JB Kristanto tersebut lengkap dengan penerbit dan halamannya.","2016-07-20T17:39:07Z"
"Healthylove","t835wpfixu5c4jyt","artikel tidak terkena speedy delete","cara agar artikel diwikipedia tidak dihapus cepat atau jika mengedit tidak dikembalikan ke asal?bagaimana?","2016-07-20T12:38:52Z"
"Masbrayyy","t82mgcur94n9wqdb","kurang paham","kurang paham dengan cara ini tlong dbuat tour nya la biar lbh paham","2016-07-20T06:49:32Z"
"Barimin s","t81irpt31ucd0j1i","bagaimana carang mau buat foto profil ?","Mau membuat foto profil tapi tidak bisa,caranya bagai mans","2016-07-19T18:56:57Z"
"Sasaupb","t7y9l66b6ifvuql8","baru coba buat biodata tapi sudah dihapus","halaman [[Sasa Ani Arnomo]] bagaimana cara memperbaiki","2016-07-18T07:52:47Z"
"Widhiesofhieyehana","t7up5froq6mgbddu","cara membuat bionya gimana gan","kasih tau ya","2016-07-16T17:26:31Z"
"Acep mutaqin","t7unflirthjtap9t","met malam salam kenal semua nya","selamat malam.dan salam kenalsya mencba gabung disini, untuk mengetahui berita berita yg akurat dari daerah di pedesaan mengenai perkembangan pembangunan pedesaan","2016-07-16T16:55:41Z"
"Jamal standar 3","t7tbycuaeiyen850","cara menampilakan my biodata & my profil di (wikipedia) & halaman Google.","cara menampilakan my biodata & my profil di (wikipedia) & halaman Google.","2016-07-16T02:43:08Z"
"Danus dadan","t7sfdcgv214h0qk1","Artikel saya jangan di hapus dulu, akan saya revisi","Selamat malam.  Untuk Artikel saya yang telah dihapus, akan saya revisi lagi, mohon kerjasamanya. Terimakasih  Danus{{FlowMention|Mimihitam}}","2016-07-15T16:58:03Z"
"Irwan guntari","t7s9j9peeg5llck3","cara masukin profile","cara masukan data profile ke wikipedia bagaimana caranya? terima kasih","2016-07-15T15:13:16Z"
"Kemalfaqot","t7q867vhiz5pam5c","lebah madu trigona sp","Hallo,saya pengguna baru wikipedia yang i","2016-07-14T17:15:56Z"
"Bona pasogit","t7q5aqv1zsqwafb2","salam hormat pak , saya bona pasogit pengguna wikipedia yang baru saya kurang paham menggunakan wikipedia dalam membuat berita saya mohon pak untuk meminta bantuan pak","salam hormat pak , saya bona pasogit pengguna wikipedia yang baru saya kurang paham menggunakan wikipedia dalam membuat berita saya mohon pak untuk meminta bantuan pak","2016-07-14T16:24:19Z"
"Tiyo nugros","t7pncy72591hfj11","hou","tulis buku","2016-07-14T11:02:13Z"
"SalamIceTea","t7l021eer836ftfn","Bagaimana cara membagikan tautan 'perang mu'tah' ke facebook?","Gimana cara membagikan tautan tentang perang Mu'tah ke FB","2016-07-12T08:58:03Z"
"Salam TV","t7iqip6l4rx818tw","PAPUA KAL","saya ingin menyantumkan profil perusahaan saya di wikipedia , tapi saya tidak tau gmn caranya .. seperti contoh [[Masjid Istiqlal]], mohon bantuannya","2016-07-11T08:33:56Z"
"Kangdonat","t7gqe3ouerdud42w","apakah  arti automatis","automatis  adalah bahasa  manca  jika  di artikan bahasa indonesia  adalah  kira  kira apa ya?   juga   bahasa  jawa nya  automatis  ??","2016-07-10T10:58:47Z"
"Memid43Fachry","t7e5qpxxf71jnyp1","baru babung","gimana cara gabung diwekepedia","2016-07-09T07:15:08Z"
"Johnstad Di Maria","t7cn0ufzh70ql6hh","Pembicaraan","Selamat malam  Mungkin pertanyaan ini agak konyol, tapi bagaimana cara membalas pembicaraan di halaman pembicaraan pengguna?  Terimakasih","2016-07-08T14:52:35Z"
"Uzi amin","t7ad8d580c3iotbl","pertanyaan","saya buat artikel profil pemain sepak bola yang baru,tapi saya search di google belum muncul.Padahal referensinya jelas.Mohon Bantuannya ?","2016-07-07T14:23:55Z"
"Slamet Jarot","t79o94l1ayh5cdui","informasi bantuan","saya ingin membaca semua informasi yang saya daftarkan, dan bila ada informasi lain yang berhubungan dengan informasi saya, dapatkah saya sunting juga.  Bagaimana caranya menyunting, mohon di info kan, terima kasih{{FlowMention|Slamet Jarot}}","2016-07-07T06:55:23Z"
"Bobby januar","t79lravbwfi6o5t4","gimana cara nyunting nya ?? new","Tolong jwbnnya","2016-07-07T06:10:34Z"
"Simanullang0303","t786ynim60ejckm0","saya mau posting stasiun radio baru wilayah sumatera utara humbang hasundundutan dolok sanggul","namanya Green Radio 91,1 FM Dolok Sanggul Humbahas  sebelumya sudah saya buat tapi tidak berhasil mohon di bantu","2016-07-06T14:58:28Z"
"Hari akbar pertama","t77lnlnyd0k448x3","Bagaiman","Bagaimana cara publikasikan puisi yg saya buat","2016-07-06T08:35:52Z"
"Naufal L Hadi","t75szdhi2iyywq1g","bagaimana?","bagaimana saya mempublish artikel yang saya buat disini?","2016-07-05T13:14:35Z"
"Diandara indah","t73t3m9y4zs9fq1r","artikel saya tentang stand up comedian kak jek tolong di undelet pak bos","artikel saya tentang stand up comedian kak jek tolong di undelet pak bos","2016-07-04T15:43:50Z"
"Sherly vicktoria","t72ntjjzfhuvb0bq","cara mengaplod foto","Wikipadia:warung kopi(bantuan)","2016-07-04T03:22:36Z"
"Frengki adinata","t71mudrtvidnt5mg","pertanyaan","ini media gimana maksudnya","2016-07-03T16:18:38Z"
"Johnstad Di Maria","t6zi6q4lulv2w0fk","Abuse Filter","Selamat malam  Saya ingin bertanya. Saya telah selesai menerjemahkan artikel Sejarah Ukraina, hanya saja ketika ingin menerbitkan halaman ada peringatan tentang artikel spam. Padahal saya tidak memasukkan unsur apapun yang berbau spam.  Mohon bantuannya.  Terima Kasih  <nowiki>~~~~</nowiki>","2016-07-02T17:22:09Z"
"Muhammad wahyu romadhon","t6wi2jcry4hrbsny","cara memasukkan foto di wikipedia","Assalamualaikum warohmatullahi wabarokatuh.  salam hormat,Muhammad wahyu romadhon  Ana ingin bertanya bagaimana cara memasukkan foto saat membuat halaman di wikipedia?  Terima kasih.  wassalamualaikum warohmatullahi wabarokatuh","2016-07-01T09:00:46Z"
"MisbąĦul Muŋir","t6vbov6p3kwwj2q5","Baru masuk","Saya bingung masuk kesini, Apa ada yang bisa membantu saya. Terimah kasih","2016-06-30T20:19:47Z"
"Daud april","t6uufg7ozj8inw3v","bantuan","pak bos,gimana sumber berita dari wikipedia saya bagikan dengan facebook atau instagram? mohon bantuannya?","2016-06-30T15:09:49Z"
"Mtouriq","t6rnih0ws562vuyp","Ada kesalahan pada satu artikel, namun pengguna baru tidak dapat memperbaiki","Ada kesalahan pada artikel [[Daftar stasiun televisi di Indonesia]], dimana Nabawi TV disebutkan channel dari Malaysia. Yang seharusnya channel tersebut murni dari Indonesia.   Bagaimana cara memperbaikinya? dihalaman tersebut tertulis kalau pengguna baru tidak dapat menyunting sampai waktu yang tidak ditentukan.","2016-06-29T04:46:21Z"
"FAHRI NUSANTARA","t6l96n9p48y7ree7","menulis biografi diri sendiri","bisakah saya menulis biografi saya sendiri di wikipedia?","2016-06-26T07:50:29Z"
"Omas sulastri","t6i0a8fvyv7sb73c","bagaimana membuat profil pribadi","saya adalah pemula di wikipedia bagaimana cara menggunakan wikipedia ini","2016-06-24T20:51:22Z"
"Muhammad Diva Faundra","t6gqunohdge3pt2q","Salah menuliskan nama profil","Saya salah menuliskan nama saya yang seharusnya bernama Muhammad Diva Faundra justru salah mengetik menjadi Muhammad Duva Faundra,bagaimana cara mengubah nama saya menjadi yang benar?","2016-06-24T07:15:34Z"
"GigihSetyaji","t6g8x7fq14uhq2bm","Tanya Pengurus","Saya baru saja membuat halaman tapi kenapa sudah hilang lagi ya? halamannya Riau24com","2016-06-24T01:53:37Z"
"Defian Armadaniawan","t6efqsj803fj0ty9","Bertanya","Apa Ada Alamat Resmi Wikipedia Di Indonesia","2016-06-23T06:23:15Z"
"Jaelani030894","t6cz4bz7wvct76ov","BERTANYA","bagaimana saya bisa melakukan komunikasi dengan admin via email. mohon bantuan","2016-06-22T14:38:19Z"
"Bangkit Imanuel Sentosa","t6c7468wkm5ke8gh","Halaman ini telah dilindungi","Ka saya mau tanya, maksud ka Erick Fastman untuk melindungi [https://id.wikipedia.org/w/index.php?title=Kesenjangan_komunikasi_negara_barat_dan_timur&action=edit&redlink=1 Kesenjangan komunikasi negara barat dan timur] [Buat=Hanya untuk pengguna terdaftar otomatis] itu bagaimana ya ka? halaman saya dapat tampil atau saya harus buat ulang? mohon bimbingannya ka.","2016-06-22T06:15:28Z"
"Bangkit Imanuel Sentosa","t6bznsojm9vd8yl6","Tugas Universitas","Saya Bangkit, mahasiswa UNSERA semester 4, mau memberi informasi dan meminta bantuan para Admin terhormat, pengawas dan pengurus wikipedia untuk tidak menghapus artikel yang saya buat untuk tugas.  Saya harus membuat artikel yang bagaimana ya? boleh  saya minta referensi halaman contoh tugas proyeknya?  saya bingung.","2016-06-22T04:01:36Z"
"Ramli Tuansyah","t6bwzqkb3am2eu4o","BANTUAN UNTUK TUGAS SEKOLAH/UNIVERSITAS","salam sejahtera untuk semua, bisa minta tolong untuk tidak menghapus artikel saya yang berjudul '''''""komponen komunikasi internasional""''''' untuk memenuhi mata kuliah, terimakasih","2016-06-22T03:13:41Z"
"Jaelani030894","t69wuj3xspzh1p7n","help","<nowiki>ada orang disini~~~</nowiki>","2016-06-21T05:38:14Z"
"Jaelani030894","t69we7jbtqvrzy2q","revisi","selamat siang, bisa bantu saya untuk merevisi artikel di bawah ini, terimakasih  '''''<nowiki>{{Gnt:Undangan diskusi|Wikipedia:Artikel bagus/Usulan/SEJARAH SISTEM PEMBERITAAN INTERNASIONAL}}</nowiki>'''''","2016-06-21T05:30:05Z"
"Jaelani030894","t68x2h9b82lx1476","ARTIKEL","hai. selamat malam mimin cantik dan kece, tolong bantu saya untuk mengupload dan atrikel dari buku saya diterima di wikipedia, tolong tunjukan arahannya, terimakasihg :)","2016-06-20T18:55:46Z"
"Faizalakbar95","t66ks5ticbqvsae7","cara upload file pdf ke wikipedia","info dong cara upload file pdf ke wikipedia gmn ya?","2016-06-19T17:42:17Z"
"M Arif Munawar","t65mkhcr63jo9hby","Cara menambahkan Kategori","bagaimana cara untuk menambahkan kategori agar masuk kedalam kategori tersebut?","2016-06-19T07:27:56Z"
